execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,2038.12,1,1,4
2,QUIC Single,2025.93,1,1,4
3,QUIC Single,7055.14,1,1,4
4,QUIC Single,2030.4,1,1,4
5,QUIC Single,32.64,1,1,4
6,QUIC Single,29.52,1,1,4
7,QUIC Single,2703.41,1,1,4
8,QUIC Single,2001.82,1,1,4
9,QUIC Single,2025.12,1,1,4
10,QUIC Single,1.81,1,1,4
11,QUIC Single,29.67,1,1,4
12,QUIC Single,1.92,1,1,4
13,QUIC Single,3614.71,1,1,4
14,QUIC Single,2.22,1,1,4
15,QUIC Single,4218.14,1,1,4
16,QUIC Single,1003.98,1,1,4
17,QUIC Single,7328.3,1,1,4
18,QUIC Single,83.49,1,1,4
19,QUIC Single,29.51,1,1,4
20,QUIC Single,29.62,1,1,4
21,QUIC Single,1.84,1,1,4
22,QUIC Single,1063.71,1,1,4
23,QUIC Single,1.76,1,1,4
24,QUIC Single,NaN,0,1,4
25,QUIC Single,2007.45,1,1,4
26,QUIC Single,194.74,1,1,4
27,QUIC Single,29.26,1,1,4
28,QUIC Single,1101.64,1,1,4
29,QUIC Single,1.97,1,1,4
30,QUIC Single,2025.64,1,1,4
31,QUIC Single,84.56,1,1,4
32,QUIC Single,84.39,1,1,4
33,QUIC Single,31.01,1,1,4
34,QUIC Single,2.02,1,1,4
35,QUIC Single,29.48,1,1,4
36,QUIC Single,2000.98,1,1,4
37,QUIC Single,7001.31,1,1,4
38,QUIC Single,2.43,1,1,4
39,QUIC Single,1.96,1,1,4
40,QUIC Single,30.61,1,1,4
41,QUIC Single,29.35,1,1,4
42,QUIC Single,29.21,1,1,4
43,QUIC Single,2054.35,1,1,4
44,QUIC Single,2.35,1,1,4
45,QUIC Single,3000.99,1,1,4
46,QUIC Single,1.95,1,1,4
47,QUIC Single,8852.54,1,1,4
48,QUIC Single,2438.64,1,1,4
49,QUIC Single,1.84,1,1,4
50,QUIC Single,2.75,1,1,4
51,QUIC Single,3000.2,1,1,4
52,QUIC Single,29.41,1,1,4
53,QUIC Single,1003.97,1,1,4
54,QUIC Single,2.33,1,1,4
55,QUIC Single,194.54,1,1,4
56,QUIC Single,29.59,1,1,4
57,QUIC Single,2.0,1,1,4
58,QUIC Single,116.16,1,1,4
59,QUIC Single,2.36,1,1,4
60,QUIC Single,1001.27,1,1,4
61,QUIC Single,3997.76,1,1,4
62,QUIC Single,NaN,0,1,4
63,QUIC Single,411.37,1,1,4
64,QUIC Single,1.74,1,1,4
65,QUIC Single,4000.22,1,1,4
66,QUIC Single,NaN,0,1,4
67,QUIC Single,29.64,1,1,4
68,QUIC Single,29.66,1,1,4
69,QUIC Single,29.28,1,1,4
70,QUIC Single,1.72,1,1,4
71,QUIC Single,29.15,1,1,4
72,QUIC Single,1003.03,1,1,4
73,QUIC Single,2.18,1,1,4
74,QUIC Single,29.48,1,1,4
75,QUIC Single,1009.67,1,1,4
76,QUIC Single,2001.09,1,1,4
77,QUIC Single,3000.92,1,1,4
78,QUIC Single,2.35,1,1,4
79,QUIC Single,1003.98,1,1,4
80,QUIC Single,7001.16,1,1,4
81,QUIC Single,1.93,1,1,4
82,QUIC Single,3000.35,1,1,4
83,QUIC Single,1.73,1,1,4
84,QUIC Single,1.7,1,1,4
85,QUIC Single,3998.13,1,1,4
86,QUIC Single,1.79,1,1,4
87,QUIC Single,1.99,1,1,4
88,QUIC Single,29.3,1,1,4
89,QUIC Single,4027.16,1,1,4
90,QUIC Single,2.05,1,1,4
91,QUIC Single,83.63,1,1,4
92,QUIC Single,1.76,1,1,4
93,QUIC Single,1.76,1,1,4
94,QUIC Single,3001.09,1,1,4
95,QUIC Single,3997.78,1,1,4
96,QUIC Single,1001.5,1,1,4
97,QUIC Single,84.63,1,1,4
98,QUIC Single,2024.91,1,1,4
99,QUIC Single,2.18,1,1,4
100,QUIC Single,9017.98,1,1,4
101,QUIC Single,59.86,1,1,4
102,QUIC Single,1.93,1,1,4
103,QUIC Single,1492.44,1,1,4
104,QUIC Single,29.32,1,1,4
105,QUIC Single,1.8,1,1,4
106,QUIC Single,3055.13,1,1,4
107,QUIC Single,2.13,1,1,4
108,QUIC Single,1030.88,1,1,4
109,QUIC Single,2.11,1,1,4
110,QUIC Single,1.81,1,1,4
111,QUIC Single,418.76,1,1,4
112,QUIC Single,1.97,1,1,4
113,QUIC Single,2.44,1,1,4
114,QUIC Single,1.88,1,1,4
115,QUIC Single,3821.22,1,1,4
116,QUIC Single,2.04,1,1,4
117,QUIC Single,7885.32,1,1,4
118,QUIC Single,1.98,1,1,4
119,QUIC Single,1.83,1,1,4
120,QUIC Single,1.69,1,1,4
121,QUIC Single,2001.58,1,1,4
122,QUIC Single,8048.48,1,1,4
123,QUIC Single,60.7,1,1,4
124,QUIC Single,113.91,1,1,4
125,QUIC Single,NaN,0,1,4
