execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,16.55,1,3,4
2,TLS Single,17.51,1,3,4
3,TLS Single,20.62,1,3,4
4,TLS Single,16.74,1,3,4
5,TLS Single,17.46,1,3,4
6,TLS Single,16.32,1,3,4
7,TLS Single,16.22,1,3,4
8,TLS Single,216.96,1,3,4
9,TLS Single,1518.88,1,3,4
10,TLS Single,18.75,1,3,4
11,TLS Single,17.32,1,3,4
12,TLS Single,218.5,1,3,4
13,TLS Single,28.48,1,3,4
14,TLS Single,17.97,1,3,4
15,TLS Single,1026.72,1,3,4
16,TLS Single,19.4,1,3,4
17,TLS Single,18.42,1,3,4
18,TLS Single,18.57,1,3,4
19,TLS Single,18.3,1,3,4
20,TLS Single,18.86,1,3,4
21,TLS Single,18.61,1,3,4
22,TLS Single,16.9,1,3,4
23,TLS Single,219.43,1,3,4
24,TLS Single,1918.15,1,3,4
25,TLS Single,18.23,1,3,4
26,TLS Single,18.02,1,3,4
27,TLS Single,18.02,1,3,4
28,TLS Single,15.87,1,3,4
29,TLS Single,16.16,1,3,4
30,TLS Single,16.71,1,3,4
31,TLS Single,1045.34,1,3,4
32,TLS Single,18.57,1,3,4
33,TLS Single,17.96,1,3,4
34,TLS Single,18.86,1,3,4
35,TLS Single,18.77,1,3,4
36,TLS Single,17.92,1,3,4
37,TLS Single,16.14,1,3,4
38,TLS Single,833.91,1,3,4
39,TLS Single,22.09,1,3,4
40,TLS Single,1034.09,1,3,4
41,TLS Single,18.43,1,3,4
42,TLS Single,17.54,1,3,4
43,TLS Single,1547.43,1,3,4
44,TLS Single,32.74,1,3,4
45,TLS Single,22.29,1,3,4
46,TLS Single,17.03,1,3,4
47,TLS Single,16.55,1,3,4
48,TLS Single,16.37,1,3,4
49,TLS Single,16.0,1,3,4
50,TLS Single,16.35,1,3,4
51,TLS Single,1297.77,1,3,4
52,TLS Single,1043.92,1,3,4
53,TLS Single,18.32,1,3,4
54,TLS Single,19.4,1,3,4
55,TLS Single,18.41,1,3,4
56,TLS Single,16.49,1,3,4
57,TLS Single,16.48,1,3,4
58,TLS Single,16.21,1,3,4
59,TLS Single,16.66,1,3,4
60,TLS Single,17.46,1,3,4
61,TLS Single,17.39,1,3,4
62,TLS Single,1308.92,1,3,4
63,TLS Single,20.17,1,3,4
64,TLS Single,19.43,1,3,4
65,TLS Single,21.14,1,3,4
66,TLS Single,16.59,1,3,4
67,TLS Single,21.61,1,3,4
68,TLS Single,16.14,1,3,4
69,TLS Single,16.39,1,3,4
70,TLS Single,424.33,1,3,4
71,TLS Single,2068.52,1,3,4
72,TLS Single,18.3,1,3,4
73,TLS Single,846.05,1,3,4
74,TLS Single,19.93,1,3,4
75,TLS Single,1063.59,1,3,4
76,TLS Single,1054.55,1,3,4
77,TLS Single,18.89,1,3,4
78,TLS Single,1046.47,1,3,4
79,TLS Single,20.74,1,3,4
80,TLS Single,217.31,1,3,4
81,TLS Single,33.08,1,3,4
82,TLS Single,1095.77,1,3,4
83,TLS Single,21.51,1,3,4
84,TLS Single,625.31,1,3,4
85,TLS Single,21.43,1,3,4
86,TLS Single,17.98,1,3,4
87,TLS Single,1086.17,1,3,4
88,TLS Single,218.29,1,3,4
89,TLS Single,19.55,1,3,4
90,TLS Single,18.36,1,3,4
91,TLS Single,16.61,1,3,4
92,TLS Single,2084.24,1,3,4
93,TLS Single,216.73,1,3,4
94,TLS Single,28.5,1,3,4
95,TLS Single,17.72,1,3,4
96,TLS Single,643.37,1,3,4
97,TLS Single,18.47,1,3,4
98,TLS Single,1032.58,1,3,4
99,TLS Single,18.36,1,3,4
100,TLS Single,1242.66,1,3,4
101,TLS Single,242.1,1,3,4
102,TLS Single,1875.66,1,3,4
103,TLS Single,27.97,1,3,4
104,TLS Single,837.75,1,3,4
105,TLS Single,21.02,1,3,4
106,TLS Single,18.57,1,3,4
107,TLS Single,1269.72,1,3,4
108,TLS Single,20.73,1,3,4
109,TLS Single,18.85,1,3,4
110,TLS Single,17.66,1,3,4
111,TLS Single,17.92,1,3,4
112,TLS Single,17.91,1,3,4
113,TLS Single,17.86,1,3,4
114,TLS Single,16.72,1,3,4
115,TLS Single,17.25,1,3,4
116,TLS Single,16.59,1,3,4
117,TLS Single,15.8,1,3,4
118,TLS Single,16.41,1,3,4
119,TLS Single,16.9,1,3,4
120,TLS Single,16.81,1,3,4
121,TLS Single,1104.26,1,3,4
122,TLS Single,18.64,1,3,4
123,TLS Single,16.85,1,3,4
124,TLS Single,16.28,1,3,4
125,TLS Single,16.23,1,3,4
