execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,2.57,1,1,4
2,TLS Single,1.95,1,1,4
3,TLS Single,2.04,1,1,4
4,TLS Single,1053.18,1,1,4
5,TLS Single,2.4,1,1,4
6,TLS Single,1248.19,1,1,4
7,TLS Single,2.94,1,1,4
8,TLS Single,2.04,1,1,4
9,TLS Single,1.9,1,1,4
10,TLS Single,1.74,1,1,4
11,TLS Single,1.81,1,1,4
12,TLS Single,1.88,1,1,4
13,TLS Single,1024.35,1,1,4
14,TLS Single,3.04,1,1,4
15,TLS Single,2.2,1,1,4
16,TLS Single,1.99,1,1,4
17,TLS Single,2.13,1,1,4
18,TLS Single,1.8,1,1,4
19,TLS Single,1.81,1,1,4
20,TLS Single,1.8,1,1,4
21,TLS Single,2.25,1,1,4
22,TLS Single,1.89,1,1,4
23,TLS Single,416.1,1,1,4
24,TLS Single,2.57,1,1,4
25,TLS Single,212.67,1,1,4
26,TLS Single,1257.23,1,1,4
27,TLS Single,1049.12,1,1,4
28,TLS Single,3.27,1,1,4
29,TLS Single,2.02,1,1,4
30,TLS Single,1658.53,1,1,4
31,TLS Single,3.18,1,1,4
32,TLS Single,1036.57,1,1,4
33,TLS Single,2.91,1,1,4
34,TLS Single,2.12,1,1,4
35,TLS Single,2.2,1,1,4
36,TLS Single,2.56,1,1,4
37,TLS Single,2.56,1,1,4
38,TLS Single,1042.49,1,1,4
39,TLS Single,2.56,1,1,4
40,TLS Single,1.98,1,1,4
41,TLS Single,1.82,1,1,4
42,TLS Single,2.24,1,1,4
43,TLS Single,2.25,1,1,4
44,TLS Single,2.1,1,1,4
45,TLS Single,2.16,1,1,4
46,TLS Single,211.41,1,1,4
47,TLS Single,3.49,1,1,4
48,TLS Single,2.19,1,1,4
49,TLS Single,2.32,1,1,4
50,TLS Single,2.25,1,1,4
51,TLS Single,207.84,1,1,4
52,TLS Single,4.12,1,1,4
53,TLS Single,2.28,1,1,4
54,TLS Single,2.14,1,1,4
55,TLS Single,1005.71,1,1,4
56,TLS Single,3.51,1,1,4
57,TLS Single,2.72,1,1,4
58,TLS Single,2.17,1,1,4
59,TLS Single,2.17,1,1,4
60,TLS Single,206.04,1,1,4
61,TLS Single,2.76,1,1,4
62,TLS Single,413.95,1,1,4
63,TLS Single,207.98,1,1,4
64,TLS Single,4.66,1,1,4
65,TLS Single,2.07,1,1,4
66,TLS Single,1.87,1,1,4
67,TLS Single,1.86,1,1,4
68,TLS Single,1.76,1,1,4
69,TLS Single,1004.69,1,1,4
70,TLS Single,3.63,1,1,4
71,TLS Single,1.89,1,1,4
72,TLS Single,1026.84,1,1,4
73,TLS Single,2.45,1,1,4
74,TLS Single,1.93,1,1,4
75,TLS Single,210.18,1,1,4
76,TLS Single,1255.15,1,1,4
77,TLS Single,4.24,1,1,4
78,TLS Single,2.1,1,1,4
79,TLS Single,1.99,1,1,4
80,TLS Single,1.93,1,1,4
81,TLS Single,1.74,1,1,4
82,TLS Single,1025.43,1,1,4
83,TLS Single,3.17,1,1,4
84,TLS Single,2.04,1,1,4
85,TLS Single,1.87,1,1,4
86,TLS Single,208.74,1,1,4
87,TLS Single,2.44,1,1,4
88,TLS Single,2.12,1,1,4
89,TLS Single,206.41,1,1,4
90,TLS Single,3.02,1,1,4
91,TLS Single,2.14,1,1,4
92,TLS Single,416.98,1,1,4
93,TLS Single,3.64,1,1,4
94,TLS Single,209.53,1,1,4
95,TLS Single,1062.53,1,1,4
96,TLS Single,2.77,1,1,4
97,TLS Single,1037.85,1,1,4
98,TLS Single,2.94,1,1,4
99,TLS Single,2.21,1,1,4
100,TLS Single,214.03,1,1,4
101,TLS Single,2039.85,1,1,4
102,TLS Single,1058.17,1,1,4
103,TLS Single,207.49,1,1,4
104,TLS Single,3.4,1,1,4
105,TLS Single,1056.51,1,1,4
106,TLS Single,3.18,1,1,4
107,TLS Single,2.55,1,1,4
108,TLS Single,2.89,1,1,4
109,TLS Single,2.66,1,1,4
110,TLS Single,1059.92,1,1,4
111,TLS Single,2.8,1,1,4
112,TLS Single,2.11,1,1,4
113,TLS Single,2.33,1,1,4
114,TLS Single,1.96,1,1,4
115,TLS Single,1.88,1,1,4
116,TLS Single,1.88,1,1,4
117,TLS Single,2.11,1,1,4
118,TLS Single,1227.23,1,1,4
119,TLS Single,3.41,1,1,4
120,TLS Single,2.12,1,1,4
121,TLS Single,2.03,1,1,4
122,TLS Single,2.03,1,1,4
123,TLS Single,2.23,1,1,4
124,TLS Single,2.27,1,1,4
125,TLS Single,1007.6,1,1,4
