execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,1.92,1,2,4
2,TLS Single,1.69,1,2,4
3,TLS Single,1.81,1,2,4
4,TLS Single,1016.28,1,2,4
5,TLS Single,411.34,1,2,4
6,TLS Single,1033.64,1,2,4
7,TLS Single,2.02,1,2,4
8,TLS Single,1.91,1,2,4
9,TLS Single,1239.59,1,2,4
10,TLS Single,1066.95,1,2,4
11,TLS Single,1.89,1,2,4
12,TLS Single,1672.24,1,2,4
13,TLS Single,1.77,1,2,4
14,TLS Single,2491.55,1,2,4
15,TLS Single,207.93,1,2,4
16,TLS Single,205.49,1,2,4
17,TLS Single,6.03,1,2,4
18,TLS Single,1.94,1,2,4
19,TLS Single,1.8,1,2,4
20,TLS Single,819.34,1,2,4
21,TLS Single,6.73,1,2,4
22,TLS Single,203.53,1,2,4
23,TLS Single,1476.66,1,2,4
24,TLS Single,209.05,1,2,4
25,TLS Single,1017.1,1,2,4
26,TLS Single,1.85,1,2,4
27,TLS Single,1.68,1,2,4
28,TLS Single,1242.58,1,2,4
29,TLS Single,208.7,1,2,4
30,TLS Single,5.85,1,2,4
31,TLS Single,2.87,1,2,4
32,TLS Single,3.26,1,2,4
33,TLS Single,2.68,1,2,4
34,TLS Single,2.31,1,2,4
35,TLS Single,819.04,1,2,4
36,TLS Single,3.75,1,2,4
37,TLS Single,2.35,1,2,4
38,TLS Single,1045.15,1,2,4
39,TLS Single,1005.48,1,2,4
40,TLS Single,1.9,1,2,4
41,TLS Single,1059.2,1,2,4
42,TLS Single,2.42,1,2,4
43,TLS Single,1.83,1,2,4
44,TLS Single,207.17,1,2,4
45,TLS Single,3.77,1,2,4
46,TLS Single,2.37,1,2,4
47,TLS Single,2.38,1,2,4
48,TLS Single,1.74,1,2,4
49,TLS Single,1.88,1,2,4
50,TLS Single,1635.27,1,2,4
51,TLS Single,2.3,1,2,4
52,TLS Single,2.34,1,2,4
53,TLS Single,2.26,1,2,4
54,TLS Single,1.67,1,2,4
55,TLS Single,1.71,1,2,4
56,TLS Single,4.86,1,2,4
57,TLS Single,2.15,1,2,4
58,TLS Single,1.78,1,2,4
59,TLS Single,1.62,1,2,4
60,TLS Single,1.69,1,2,4
61,TLS Single,203.37,1,2,4
62,TLS Single,2090.63,1,2,4
63,TLS Single,203.94,1,2,4
64,TLS Single,2.19,1,2,4
65,TLS Single,214.03,1,2,4
66,TLS Single,207.31,1,2,4
67,TLS Single,3.66,1,2,4
68,TLS Single,2.58,1,2,4
69,TLS Single,2.34,1,2,4
70,TLS Single,1057.78,1,2,4
71,TLS Single,2.64,1,2,4
72,TLS Single,1053.38,1,2,4
73,TLS Single,2.35,1,2,4
74,TLS Single,207.8,1,2,4
75,TLS Single,623.98,1,2,4
76,TLS Single,1.94,1,2,4
77,TLS Single,1.97,1,2,4
78,TLS Single,1.9,1,2,4
79,TLS Single,1.74,1,2,4
80,TLS Single,1.73,1,2,4
81,TLS Single,1.6,1,2,4
82,TLS Single,1634.74,1,2,4
83,TLS Single,2.67,1,2,4
84,TLS Single,416.9,1,2,4
85,TLS Single,2.01,1,2,4
86,TLS Single,1.69,1,2,4
87,TLS Single,212.13,1,2,4
88,TLS Single,619.63,1,2,4
89,TLS Single,4.32,1,2,4
90,TLS Single,2.46,1,2,4
91,TLS Single,1008.41,1,2,4
92,TLS Single,211.17,1,2,4
93,TLS Single,1035.01,1,2,4
94,TLS Single,1.94,1,2,4
95,TLS Single,825.54,1,2,4
96,TLS Single,2.11,1,2,4
97,TLS Single,1.79,1,2,4
98,TLS Single,2.04,1,2,4
99,TLS Single,204.0,1,2,4
100,TLS Single,205.55,1,2,4
101,TLS Single,1039.72,1,2,4
102,TLS Single,1055.3,1,2,4
103,TLS Single,1.94,1,2,4
104,TLS Single,2.26,1,2,4
105,TLS Single,2.15,1,2,4
106,TLS Single,2.36,1,2,4
107,TLS Single,1.65,1,2,4
108,TLS Single,1.68,1,2,4
109,TLS Single,1.77,1,2,4
110,TLS Single,1.66,1,2,4
111,TLS Single,1.66,1,2,4
112,TLS Single,1.72,1,2,4
113,TLS Single,1010.25,1,2,4
114,TLS Single,1258.41,1,2,4
115,TLS Single,417.32,1,2,4
116,TLS Single,829.44,1,2,4
117,TLS Single,413.82,1,2,4
118,TLS Single,1054.54,1,2,4
119,TLS Single,1.67,1,2,4
120,TLS Single,2064.73,1,2,4
121,TLS Single,205.97,1,2,4
122,TLS Single,2.05,1,2,4
123,TLS Single,205.75,1,2,4
124,TLS Single,1061.96,1,2,4
125,TLS Single,1.93,1,2,4
