execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,359.4,1,4,4
2,QUIC Single,190.27,1,4,4
3,QUIC Single,190.75,1,4,4
4,QUIC Single,190.81,1,4,4
5,QUIC Single,201.0,1,4,4
6,QUIC Single,198.62,1,4,4
7,QUIC Single,200.36,1,4,4
8,QUIC Single,192.01,1,4,4
9,QUIC Single,199.35,1,4,4
10,QUIC Single,190.5,1,4,4
11,QUIC Single,191.0,1,4,4
12,QUIC Single,194.73,1,4,4
13,QUIC Single,194.44,1,4,4
14,QUIC Single,191.94,1,4,4
15,QUIC Single,193.43,1,4,4
16,QUIC Single,209.73,1,4,4
17,QUIC Single,251.33,1,4,4
18,QUIC Single,228.64,1,4,4
19,QUIC Single,192.52,1,4,4
20,QUIC Single,195.43,1,4,4
21,QUIC Single,193.38,1,4,4
22,QUIC Single,191.92,1,4,4
23,QUIC Single,192.84,1,4,4
24,QUIC Single,194.6,1,4,4
25,QUIC Single,194.48,1,4,4
26,QUIC Single,193.04,1,4,4
27,QUIC Single,195.37,1,4,4
28,QUIC Single,202.86,1,4,4
29,QUIC Single,209.37,1,4,4
30,QUIC Single,194.11,1,4,4
31,QUIC Single,196.51,1,4,4
32,QUIC Single,195.76,1,4,4
33,QUIC Single,195.98,1,4,4
34,QUIC Single,197.19,1,4,4
35,QUIC Single,192.95,1,4,4
36,QUIC Single,195.65,1,4,4
37,QUIC Single,202.5,1,4,4
38,QUIC Single,194.59,1,4,4
39,QUIC Single,192.05,1,4,4
40,QUIC Single,194.95,1,4,4
41,QUIC Single,193.02,1,4,4
42,QUIC Single,209.83,1,4,4
43,QUIC Single,193.64,1,4,4
44,QUIC Single,195.01,1,4,4
45,QUIC Single,199.04,1,4,4
46,QUIC Single,198.9,1,4,4
47,QUIC Single,201.28,1,4,4
48,QUIC Single,203.91,1,4,4
49,QUIC Single,260.31,1,4,4
50,QUIC Single,207.67,1,4,4
51,QUIC Single,193.61,1,4,4
52,QUIC Single,212.38,1,4,4
53,QUIC Single,215.48,1,4,4
54,QUIC Single,206.07,1,4,4
55,QUIC Single,213.0,1,4,4
56,QUIC Single,230.12,1,4,4
57,QUIC Single,240.5,1,4,4
58,QUIC Single,219.21,1,4,4
59,QUIC Single,208.76,1,4,4
60,QUIC Single,207.67,1,4,4
61,QUIC Single,190.75,1,4,4
62,QUIC Single,193.95,1,4,4
63,QUIC Single,195.72,1,4,4
64,QUIC Single,209.79,1,4,4
65,QUIC Single,194.27,1,4,4
66,QUIC Single,191.0,1,4,4
67,QUIC Single,190.95,1,4,4
68,QUIC Single,195.34,1,4,4
69,QUIC Single,197.85,1,4,4
70,QUIC Single,194.85,1,4,4
71,QUIC Single,194.02,1,4,4
72,QUIC Single,192.92,1,4,4
73,QUIC Single,196.69,1,4,4
74,QUIC Single,201.61,1,4,4
75,QUIC Single,191.92,1,4,4
76,QUIC Single,203.53,1,4,4
77,QUIC Single,196.53,1,4,4
78,QUIC Single,192.73,1,4,4
79,QUIC Single,194.29,1,4,4
80,QUIC Single,199.95,1,4,4
81,QUIC Single,195.68,1,4,4
82,QUIC Single,192.12,1,4,4
83,QUIC Single,194.13,1,4,4
84,QUIC Single,191.16,1,4,4
85,QUIC Single,191.17,1,4,4
86,QUIC Single,191.58,1,4,4
87,QUIC Single,195.31,1,4,4
88,QUIC Single,195.13,1,4,4
89,QUIC Single,195.58,1,4,4
90,QUIC Single,194.61,1,4,4
91,QUIC Single,195.0,1,4,4
92,QUIC Single,210.94,1,4,4
93,QUIC Single,194.09,1,4,4
94,QUIC Single,195.12,1,4,4
95,QUIC Single,191.76,1,4,4
96,QUIC Single,209.1,1,4,4
97,QUIC Single,193.73,1,4,4
98,QUIC Single,191.98,1,4,4
99,QUIC Single,194.26,1,4,4
100,QUIC Single,198.08,1,4,4
101,QUIC Single,196.94,1,4,4
102,QUIC Single,199.37,1,4,4
103,QUIC Single,196.81,1,4,4
104,QUIC Single,195.64,1,4,4
105,QUIC Single,191.93,1,4,4
106,QUIC Single,192.27,1,4,4
107,QUIC Single,207.79,1,4,4
108,QUIC Single,213.73,1,4,4
109,QUIC Single,201.32,1,4,4
110,QUIC Single,1653.79,1,4,4
111,QUIC Single,200.23,1,4,4
112,QUIC Single,190.27,1,4,4
113,QUIC Single,191.2,1,4,4
114,QUIC Single,191.28,1,4,4
115,QUIC Single,192.74,1,4,4
116,QUIC Single,191.01,1,4,4
117,QUIC Single,191.42,1,4,4
118,QUIC Single,191.85,1,4,4
119,QUIC Single,190.68,1,4,4
120,QUIC Single,190.9,1,4,4
121,QUIC Single,191.35,1,4,4
122,QUIC Single,190.85,1,4,4
123,QUIC Single,190.42,1,4,4
124,QUIC Single,190.95,1,4,4
125,QUIC Single,200.39,1,4,4
