execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,32.71,1,4,4
2,TLS Mutual,32.52,1,4,4
3,TLS Mutual,31.59,1,4,4
4,TLS Mutual,31.94,1,4,4
5,TLS Mutual,31.16,1,4,4
6,TLS Mutual,31.94,1,4,4
7,TLS Mutual,32.09,1,4,4
8,TLS Mutual,33.13,1,4,4
9,TLS Mutual,32.52,1,4,4
10,TLS Mutual,32.27,1,4,4
11,TLS Mutual,33.12,1,4,4
12,TLS Mutual,32.15,1,4,4
13,TLS Mutual,31.8,1,4,4
14,TLS Mutual,32.32,1,4,4
15,TLS Mutual,32.0,1,4,4
16,TLS Mutual,30.96,1,4,4
17,TLS Mutual,31.53,1,4,4
18,TLS Mutual,30.73,1,4,4
19,TLS Mutual,32.36,1,4,4
20,TLS Mutual,31.98,1,4,4
21,TLS Mutual,31.87,1,4,4
22,TLS Mutual,32.03,1,4,4
23,TLS Mutual,30.99,1,4,4
24,TLS Mutual,30.95,1,4,4
25,TLS Mutual,30.53,1,4,4
26,TLS Mutual,32.03,1,4,4
27,TLS Mutual,31.56,1,4,4
28,TLS Mutual,30.86,1,4,4
29,TLS Mutual,31.41,1,4,4
30,TLS Mutual,31.13,1,4,4
31,TLS Mutual,31.63,1,4,4
32,TLS Mutual,30.87,1,4,4
33,TLS Mutual,31.52,1,4,4
34,TLS Mutual,30.88,1,4,4
35,TLS Mutual,31.25,1,4,4
36,TLS Mutual,31.67,1,4,4
37,TLS Mutual,30.7,1,4,4
38,TLS Mutual,31.51,1,4,4
39,TLS Mutual,30.69,1,4,4
40,TLS Mutual,30.82,1,4,4
41,TLS Mutual,30.69,1,4,4
42,TLS Mutual,30.88,1,4,4
43,TLS Mutual,30.92,1,4,4
44,TLS Mutual,30.92,1,4,4
45,TLS Mutual,31.27,1,4,4
46,TLS Mutual,32.5,1,4,4
47,TLS Mutual,34.18,1,4,4
48,TLS Mutual,31.59,1,4,4
49,TLS Mutual,30.65,1,4,4
50,TLS Mutual,30.42,1,4,4
51,TLS Mutual,31.41,1,4,4
52,TLS Mutual,30.57,1,4,4
53,TLS Mutual,32.24,1,4,4
54,TLS Mutual,32.05,1,4,4
55,TLS Mutual,30.95,1,4,4
56,TLS Mutual,31.37,1,4,4
57,TLS Mutual,30.86,1,4,4
58,TLS Mutual,31.55,1,4,4
59,TLS Mutual,31.51,1,4,4
60,TLS Mutual,32.46,1,4,4
61,TLS Mutual,31.87,1,4,4
62,TLS Mutual,32.4,1,4,4
63,TLS Mutual,31.21,1,4,4
64,TLS Mutual,30.61,1,4,4
65,TLS Mutual,30.66,1,4,4
66,TLS Mutual,30.64,1,4,4
67,TLS Mutual,30.74,1,4,4
68,TLS Mutual,32.69,1,4,4
69,TLS Mutual,32.36,1,4,4
70,TLS Mutual,31.02,1,4,4
71,TLS Mutual,30.62,1,4,4
72,TLS Mutual,30.58,1,4,4
73,TLS Mutual,30.82,1,4,4
74,TLS Mutual,32.94,1,4,4
75,TLS Mutual,30.83,1,4,4
76,TLS Mutual,33.4,1,4,4
77,TLS Mutual,32.94,1,4,4
78,TLS Mutual,34.28,1,4,4
79,TLS Mutual,31.32,1,4,4
80,TLS Mutual,31.2,1,4,4
81,TLS Mutual,31.36,1,4,4
82,TLS Mutual,31.88,1,4,4
83,TLS Mutual,32.05,1,4,4
84,TLS Mutual,31.11,1,4,4
85,TLS Mutual,30.81,1,4,4
86,TLS Mutual,32.28,1,4,4
87,TLS Mutual,31.01,1,4,4
88,TLS Mutual,31.22,1,4,4
89,TLS Mutual,30.67,1,4,4
90,TLS Mutual,30.67,1,4,4
91,TLS Mutual,31.14,1,4,4
92,TLS Mutual,31.78,1,4,4
93,TLS Mutual,30.54,1,4,4
94,TLS Mutual,30.89,1,4,4
95,TLS Mutual,31.13,1,4,4
96,TLS Mutual,31.75,1,4,4
97,TLS Mutual,31.93,1,4,4
98,TLS Mutual,31.55,1,4,4
99,TLS Mutual,31.66,1,4,4
100,TLS Mutual,30.84,1,4,4
101,TLS Mutual,30.75,1,4,4
102,TLS Mutual,31.19,1,4,4
103,TLS Mutual,30.76,1,4,4
104,TLS Mutual,31.55,1,4,4
105,TLS Mutual,31.4,1,4,4
106,TLS Mutual,30.64,1,4,4
107,TLS Mutual,31.57,1,4,4
108,TLS Mutual,31.92,1,4,4
109,TLS Mutual,30.56,1,4,4
110,TLS Mutual,30.97,1,4,4
111,TLS Mutual,31.39,1,4,4
112,TLS Mutual,31.6,1,4,4
113,TLS Mutual,30.69,1,4,4
114,TLS Mutual,31.59,1,4,4
115,TLS Mutual,30.7,1,4,4
116,TLS Mutual,30.78,1,4,4
117,TLS Mutual,30.7,1,4,4
118,TLS Mutual,30.75,1,4,4
119,TLS Mutual,30.67,1,4,4
120,TLS Mutual,30.67,1,4,4
121,TLS Mutual,30.77,1,4,4
122,TLS Mutual,31.48,1,4,4
123,TLS Mutual,31.58,1,4,4
124,TLS Mutual,32.5,1,4,4
125,TLS Mutual,31.7,1,4,4
