execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,1446.56,1,2,4
2,TLS Mutual,293.64,1,2,4
3,TLS Mutual,294.89,1,2,4
4,TLS Mutual,303.48,1,2,4
5,TLS Mutual,315.04,1,2,4
6,TLS Mutual,311.12,1,2,4
7,TLS Mutual,293.57,1,2,4
8,TLS Mutual,314.62,1,2,4
9,TLS Mutual,299.14,1,2,4
10,TLS Mutual,314.32,1,2,4
11,TLS Mutual,313.71,1,2,4
12,TLS Mutual,302.7,1,2,4
13,TLS Mutual,314.75,1,2,4
14,TLS Mutual,302.69,1,2,4
15,TLS Mutual,313.14,1,2,4
16,TLS Mutual,314.33,1,2,4
17,TLS Mutual,281.57,1,2,4
18,TLS Mutual,314.39,1,2,4
19,TLS Mutual,302.61,1,2,4
20,TLS Mutual,314.16,1,2,4
21,TLS Mutual,297.77,1,2,4
22,TLS Mutual,298.24,1,2,4
23,TLS Mutual,1914.56,1,2,4
24,TLS Mutual,280.75,1,2,4
25,TLS Mutual,313.9,1,2,4
26,TLS Mutual,305.18,1,2,4
27,TLS Mutual,314.1,1,2,4
28,TLS Mutual,314.58,1,2,4
29,TLS Mutual,313.86,1,2,4
30,TLS Mutual,315.12,1,2,4
31,TLS Mutual,301.15,1,2,4
32,TLS Mutual,313.35,1,2,4
33,TLS Mutual,313.38,1,2,4
34,TLS Mutual,300.38,1,2,4
35,TLS Mutual,293.59,1,2,4
36,TLS Mutual,313.1,1,2,4
37,TLS Mutual,303.15,1,2,4
38,TLS Mutual,313.9,1,2,4
39,TLS Mutual,301.96,1,2,4
40,TLS Mutual,313.95,1,2,4
41,TLS Mutual,314.69,1,2,4
42,TLS Mutual,314.79,1,2,4
43,TLS Mutual,301.54,1,2,4
44,TLS Mutual,314.17,1,2,4
45,TLS Mutual,278.46,1,2,4
46,TLS Mutual,278.8,1,2,4
47,TLS Mutual,314.66,1,2,4
48,TLS Mutual,295.37,1,2,4
49,TLS Mutual,302.26,1,2,4
50,TLS Mutual,314.63,1,2,4
51,TLS Mutual,303.16,1,2,4
52,TLS Mutual,314.71,1,2,4
53,TLS Mutual,299.41,1,2,4
54,TLS Mutual,313.96,1,2,4
55,TLS Mutual,282.48,1,2,4
56,TLS Mutual,315.3,1,2,4
57,TLS Mutual,311.95,1,2,4
58,TLS Mutual,314.36,1,2,4
59,TLS Mutual,314.41,1,2,4
60,TLS Mutual,312.92,1,2,4
61,TLS Mutual,580.6,1,2,4
62,TLS Mutual,302.91,1,2,4
63,TLS Mutual,296.02,1,2,4
64,TLS Mutual,314.62,1,2,4
65,TLS Mutual,313.2,1,2,4
66,TLS Mutual,314.45,1,2,4
67,TLS Mutual,1979.96,1,2,4
68,TLS Mutual,303.33,1,2,4
69,TLS Mutual,315.37,1,2,4
70,TLS Mutual,315.71,1,2,4
71,TLS Mutual,313.71,1,2,4
72,TLS Mutual,314.14,1,2,4
73,TLS Mutual,313.79,1,2,4
74,TLS Mutual,313.22,1,2,4
75,TLS Mutual,295.37,1,2,4
76,TLS Mutual,314.96,1,2,4
77,TLS Mutual,302.04,1,2,4
78,TLS Mutual,791.67,1,2,4
79,TLS Mutual,311.69,1,2,4
80,TLS Mutual,295.75,1,2,4
81,TLS Mutual,314.63,1,2,4
82,TLS Mutual,294.9,1,2,4
83,TLS Mutual,315.07,1,2,4
84,TLS Mutual,311.74,1,2,4
85,TLS Mutual,278.03,1,2,4
86,TLS Mutual,315.55,1,2,4
87,TLS Mutual,300.69,1,2,4
88,TLS Mutual,292.5,1,2,4
89,TLS Mutual,315.11,1,2,4
90,TLS Mutual,313.89,1,2,4
91,TLS Mutual,307.98,1,2,4
92,TLS Mutual,301.72,1,2,4
93,TLS Mutual,293.14,1,2,4
94,TLS Mutual,314.91,1,2,4
95,TLS Mutual,1551.73,1,2,4
96,TLS Mutual,312.95,1,2,4
97,TLS Mutual,312.44,1,2,4
98,TLS Mutual,1314.12,1,2,4
99,TLS Mutual,313.79,1,2,4
100,TLS Mutual,296.9,1,2,4
101,TLS Mutual,303.42,1,2,4
102,TLS Mutual,551.99,1,2,4
103,TLS Mutual,299.66,1,2,4
104,TLS Mutual,982.55,1,2,4
105,TLS Mutual,295.67,1,2,4
106,TLS Mutual,316.03,1,2,4
107,TLS Mutual,302.52,1,2,4
108,TLS Mutual,294.9,1,2,4
109,TLS Mutual,303.78,1,2,4
110,TLS Mutual,315.16,1,2,4
111,TLS Mutual,314.23,1,2,4
112,TLS Mutual,316.3,1,2,4
113,TLS Mutual,315.24,1,2,4
114,TLS Mutual,313.82,1,2,4
115,TLS Mutual,315.42,1,2,4
116,TLS Mutual,316.08,1,2,4
117,TLS Mutual,313.6,1,2,4
118,TLS Mutual,314.28,1,2,4
119,TLS Mutual,294.16,1,2,4
120,TLS Mutual,312.39,1,2,4
121,TLS Mutual,313.3,1,2,4
122,TLS Mutual,301.93,1,2,4
123,TLS Mutual,313.07,1,2,4
124,TLS Mutual,315.61,1,2,4
125,TLS Mutual,314.82,1,2,4
