execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,409.3,1,3,4
2,TLS Mutual,286.88,1,3,4
3,TLS Mutual,286.61,1,3,4
4,TLS Mutual,284.81,1,3,4
5,TLS Mutual,926.11,1,3,4
6,TLS Mutual,284.88,1,3,4
7,TLS Mutual,285.55,1,3,4
8,TLS Mutual,286.17,1,3,4
9,TLS Mutual,264.13,1,3,4
10,TLS Mutual,285.21,1,3,4
11,TLS Mutual,284.42,1,3,4
12,TLS Mutual,285.54,1,3,4
13,TLS Mutual,285.24,1,3,4
14,TLS Mutual,284.55,1,3,4
15,TLS Mutual,286.07,1,3,4
16,TLS Mutual,286.46,1,3,4
17,TLS Mutual,283.58,1,3,4
18,TLS Mutual,287.36,1,3,4
19,TLS Mutual,284.29,1,3,4
20,TLS Mutual,287.5,1,3,4
21,TLS Mutual,283.81,1,3,4
22,TLS Mutual,286.13,1,3,4
23,TLS Mutual,284.16,1,3,4
24,TLS Mutual,666.14,1,3,4
25,TLS Mutual,282.79,1,3,4
26,TLS Mutual,286.25,1,3,4
27,TLS Mutual,284.96,1,3,4
28,TLS Mutual,282.03,1,3,4
29,TLS Mutual,285.91,1,3,4
30,TLS Mutual,285.19,1,3,4
31,TLS Mutual,282.74,1,3,4
32,TLS Mutual,286.23,1,3,4
33,TLS Mutual,284.85,1,3,4
34,TLS Mutual,285.41,1,3,4
35,TLS Mutual,285.48,1,3,4
36,TLS Mutual,286.63,1,3,4
37,TLS Mutual,284.01,1,3,4
38,TLS Mutual,264.37,1,3,4
39,TLS Mutual,283.2,1,3,4
40,TLS Mutual,286.15,1,3,4
41,TLS Mutual,285.55,1,3,4
42,TLS Mutual,284.55,1,3,4
43,TLS Mutual,281.86,1,3,4
44,TLS Mutual,285.99,1,3,4
45,TLS Mutual,287.18,1,3,4
46,TLS Mutual,283.81,1,3,4
47,TLS Mutual,283.84,1,3,4
48,TLS Mutual,284.38,1,3,4
49,TLS Mutual,285.06,1,3,4
50,TLS Mutual,283.97,1,3,4
51,TLS Mutual,284.84,1,3,4
52,TLS Mutual,284.02,1,3,4
53,TLS Mutual,284.9,1,3,4
54,TLS Mutual,284.75,1,3,4
55,TLS Mutual,284.01,1,3,4
56,TLS Mutual,283.75,1,3,4
57,TLS Mutual,283.77,1,3,4
58,TLS Mutual,269.94,1,3,4
59,TLS Mutual,286.69,1,3,4
60,TLS Mutual,285.65,1,3,4
61,TLS Mutual,285.23,1,3,4
62,TLS Mutual,264.17,1,3,4
63,TLS Mutual,284.98,1,3,4
64,TLS Mutual,285.0,1,3,4
65,TLS Mutual,283.65,1,3,4
66,TLS Mutual,283.91,1,3,4
67,TLS Mutual,284.2,1,3,4
68,TLS Mutual,285.31,1,3,4
69,TLS Mutual,282.58,1,3,4
70,TLS Mutual,286.49,1,3,4
71,TLS Mutual,926.4,1,3,4
72,TLS Mutual,275.05,1,3,4
73,TLS Mutual,284.91,1,3,4
74,TLS Mutual,284.51,1,3,4
75,TLS Mutual,282.85,1,3,4
76,TLS Mutual,285.14,1,3,4
77,TLS Mutual,924.69,1,3,4
78,TLS Mutual,286.06,1,3,4
79,TLS Mutual,285.39,1,3,4
80,TLS Mutual,282.34,1,3,4
81,TLS Mutual,286.76,1,3,4
82,TLS Mutual,285.88,1,3,4
83,TLS Mutual,285.04,1,3,4
84,TLS Mutual,284.64,1,3,4
85,TLS Mutual,286.15,1,3,4
86,TLS Mutual,280.78,1,3,4
87,TLS Mutual,283.84,1,3,4
88,TLS Mutual,284.78,1,3,4
89,TLS Mutual,285.14,1,3,4
90,TLS Mutual,273.94,1,3,4
91,TLS Mutual,284.25,1,3,4
92,TLS Mutual,285.32,1,3,4
93,TLS Mutual,286.31,1,3,4
94,TLS Mutual,284.15,1,3,4
95,TLS Mutual,286.22,1,3,4
96,TLS Mutual,285.92,1,3,4
97,TLS Mutual,284.17,1,3,4
98,TLS Mutual,283.69,1,3,4
99,TLS Mutual,283.56,1,3,4
100,TLS Mutual,284.73,1,3,4
101,TLS Mutual,262.81,1,3,4
102,TLS Mutual,282.88,1,3,4
103,TLS Mutual,285.0,1,3,4
104,TLS Mutual,285.51,1,3,4
105,TLS Mutual,285.74,1,3,4
106,TLS Mutual,285.21,1,3,4
107,TLS Mutual,286.42,1,3,4
108,TLS Mutual,284.95,1,3,4
109,TLS Mutual,279.73,1,3,4
110,TLS Mutual,283.79,1,3,4
111,TLS Mutual,283.75,1,3,4
112,TLS Mutual,284.19,1,3,4
113,TLS Mutual,282.77,1,3,4
114,TLS Mutual,284.99,1,3,4
115,TLS Mutual,279.59,1,3,4
116,TLS Mutual,263.15,1,3,4
117,TLS Mutual,284.86,1,3,4
118,TLS Mutual,285.57,1,3,4
119,TLS Mutual,285.24,1,3,4
120,TLS Mutual,285.21,1,3,4
121,TLS Mutual,284.28,1,3,4
122,TLS Mutual,285.4,1,3,4
123,TLS Mutual,286.11,1,3,4
124,TLS Mutual,282.63,1,3,4
125,TLS Mutual,283.8,1,3,4
