execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,393.24,1,4,4
2,TLS Mutual,268.34,1,4,4
3,TLS Mutual,270.24,1,4,4
4,TLS Mutual,268.34,1,4,4
5,TLS Mutual,269.41,1,4,4
6,TLS Mutual,269.58,1,4,4
7,TLS Mutual,269.38,1,4,4
8,TLS Mutual,268.29,1,4,4
9,TLS Mutual,269.77,1,4,4
10,TLS Mutual,269.25,1,4,4
11,TLS Mutual,269.19,1,4,4
12,TLS Mutual,640.82,1,4,4
13,TLS Mutual,269.88,1,4,4
14,TLS Mutual,261.27,1,4,4
15,TLS Mutual,267.28,1,4,4
16,TLS Mutual,269.01,1,4,4
17,TLS Mutual,269.85,1,4,4
18,TLS Mutual,269.27,1,4,4
19,TLS Mutual,1272.91,1,4,4
20,TLS Mutual,267.18,1,4,4
21,TLS Mutual,266.09,1,4,4
22,TLS Mutual,268.91,1,4,4
23,TLS Mutual,269.56,1,4,4
24,TLS Mutual,261.11,1,4,4
25,TLS Mutual,269.51,1,4,4
26,TLS Mutual,269.59,1,4,4
27,TLS Mutual,268.67,1,4,4
28,TLS Mutual,257.26,1,4,4
29,TLS Mutual,256.97,1,4,4
30,TLS Mutual,260.38,1,4,4
31,TLS Mutual,269.26,1,4,4
32,TLS Mutual,270.96,1,4,4
33,TLS Mutual,269.05,1,4,4
34,TLS Mutual,1258.32,1,4,4
35,TLS Mutual,268.76,1,4,4
36,TLS Mutual,269.05,1,4,4
37,TLS Mutual,269.56,1,4,4
38,TLS Mutual,271.77,1,4,4
39,TLS Mutual,269.64,1,4,4
40,TLS Mutual,261.38,1,4,4
41,TLS Mutual,267.91,1,4,4
42,TLS Mutual,265.48,1,4,4
43,TLS Mutual,261.03,1,4,4
44,TLS Mutual,269.62,1,4,4
45,TLS Mutual,269.28,1,4,4
46,TLS Mutual,269.54,1,4,4
47,TLS Mutual,261.65,1,4,4
48,TLS Mutual,270.59,1,4,4
49,TLS Mutual,269.54,1,4,4
50,TLS Mutual,269.41,1,4,4
51,TLS Mutual,268.87,1,4,4
52,TLS Mutual,267.89,1,4,4
53,TLS Mutual,269.55,1,4,4
54,TLS Mutual,262.21,1,4,4
55,TLS Mutual,256.89,1,4,4
56,TLS Mutual,268.94,1,4,4
57,TLS Mutual,269.67,1,4,4
58,TLS Mutual,269.03,1,4,4
59,TLS Mutual,269.74,1,4,4
60,TLS Mutual,260.74,1,4,4
61,TLS Mutual,270.2,1,4,4
62,TLS Mutual,269.45,1,4,4
63,TLS Mutual,269.69,1,4,4
64,TLS Mutual,269.48,1,4,4
65,TLS Mutual,269.68,1,4,4
66,TLS Mutual,269.79,1,4,4
67,TLS Mutual,262.32,1,4,4
68,TLS Mutual,639.35,1,4,4
69,TLS Mutual,1265.11,1,4,4
70,TLS Mutual,269.32,1,4,4
71,TLS Mutual,269.24,1,4,4
72,TLS Mutual,268.85,1,4,4
73,TLS Mutual,269.23,1,4,4
74,TLS Mutual,269.33,1,4,4
75,TLS Mutual,269.25,1,4,4
76,TLS Mutual,274.87,1,4,4
77,TLS Mutual,269.32,1,4,4
78,TLS Mutual,1309.04,1,4,4
79,TLS Mutual,269.52,1,4,4
80,TLS Mutual,268.53,1,4,4
81,TLS Mutual,270.14,1,4,4
82,TLS Mutual,269.23,1,4,4
83,TLS Mutual,269.5,1,4,4
84,TLS Mutual,269.61,1,4,4
85,TLS Mutual,269.08,1,4,4
86,TLS Mutual,269.06,1,4,4
87,TLS Mutual,261.54,1,4,4
88,TLS Mutual,269.52,1,4,4
89,TLS Mutual,269.36,1,4,4
90,TLS Mutual,269.09,1,4,4
91,TLS Mutual,269.29,1,4,4
92,TLS Mutual,269.53,1,4,4
93,TLS Mutual,269.44,1,4,4
94,TLS Mutual,255.72,1,4,4
95,TLS Mutual,260.49,1,4,4
96,TLS Mutual,255.82,1,4,4
97,TLS Mutual,269.12,1,4,4
98,TLS Mutual,269.58,1,4,4
99,TLS Mutual,269.13,1,4,4
100,TLS Mutual,269.15,1,4,4
101,TLS Mutual,258.71,1,4,4
102,TLS Mutual,258.73,1,4,4
103,TLS Mutual,269.22,1,4,4
104,TLS Mutual,261.82,1,4,4
105,TLS Mutual,269.25,1,4,4
106,TLS Mutual,269.54,1,4,4
107,TLS Mutual,261.55,1,4,4
108,TLS Mutual,262.25,1,4,4
109,TLS Mutual,271.23,1,4,4
110,TLS Mutual,269.21,1,4,4
111,TLS Mutual,269.56,1,4,4
112,TLS Mutual,269.54,1,4,4
113,TLS Mutual,258.22,1,4,4
114,TLS Mutual,269.41,1,4,4
115,TLS Mutual,269.77,1,4,4
116,TLS Mutual,270.49,1,4,4
117,TLS Mutual,269.79,1,4,4
118,TLS Mutual,269.69,1,4,4
119,TLS Mutual,1309.72,1,4,4
120,TLS Mutual,269.3,1,4,4
121,TLS Mutual,257.5,1,4,4
122,TLS Mutual,261.82,1,4,4
123,TLS Mutual,269.19,1,4,4
124,TLS Mutual,269.15,1,4,4
125,TLS Mutual,269.07,1,4,4
