execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,429.11,1,2,4
2,TLS Mutual,305.26,1,2,4
3,TLS Mutual,306.89,1,2,4
4,TLS Mutual,304.89,1,2,4
5,TLS Mutual,305.24,1,2,4
6,TLS Mutual,277.0,1,2,4
7,TLS Mutual,1335.29,1,2,4
8,TLS Mutual,303.64,1,2,4
9,TLS Mutual,282.83,1,2,4
10,TLS Mutual,432.16,1,2,4
11,TLS Mutual,280.74,1,2,4
12,TLS Mutual,306.81,1,2,4
13,TLS Mutual,304.19,1,2,4
14,TLS Mutual,304.44,1,2,4
15,TLS Mutual,305.85,1,2,4
16,TLS Mutual,304.84,1,2,4
17,TLS Mutual,304.93,1,2,4
18,TLS Mutual,278.7,1,2,4
19,TLS Mutual,292.22,1,2,4
20,TLS Mutual,302.55,1,2,4
21,TLS Mutual,304.99,1,2,4
22,TLS Mutual,304.12,1,2,4
23,TLS Mutual,1307.48,1,2,4
24,TLS Mutual,305.44,1,2,4
25,TLS Mutual,304.08,1,2,4
26,TLS Mutual,305.0,1,2,4
27,TLS Mutual,1338.33,1,2,4
28,TLS Mutual,304.43,1,2,4
29,TLS Mutual,290.43,1,2,4
30,TLS Mutual,306.95,1,2,4
31,TLS Mutual,291.15,1,2,4
32,TLS Mutual,304.85,1,2,4
33,TLS Mutual,303.71,1,2,4
34,TLS Mutual,299.68,1,2,4
35,TLS Mutual,304.45,1,2,4
36,TLS Mutual,303.59,1,2,4
37,TLS Mutual,306.35,1,2,4
38,TLS Mutual,408.88,1,2,4
39,TLS Mutual,304.03,1,2,4
40,TLS Mutual,305.0,1,2,4
41,TLS Mutual,304.71,1,2,4
42,TLS Mutual,303.01,1,2,4
43,TLS Mutual,280.65,1,2,4
44,TLS Mutual,302.96,1,2,4
45,TLS Mutual,304.55,1,2,4
46,TLS Mutual,304.9,1,2,4
47,TLS Mutual,282.54,1,2,4
48,TLS Mutual,306.53,1,2,4
49,TLS Mutual,303.98,1,2,4
50,TLS Mutual,304.56,1,2,4
51,TLS Mutual,305.19,1,2,4
52,TLS Mutual,304.67,1,2,4
53,TLS Mutual,281.32,1,2,4
54,TLS Mutual,307.84,1,2,4
55,TLS Mutual,305.32,1,2,4
56,TLS Mutual,303.48,1,2,4
57,TLS Mutual,305.16,1,2,4
58,TLS Mutual,304.04,1,2,4
59,TLS Mutual,305.15,1,2,4
60,TLS Mutual,289.75,1,2,4
61,TLS Mutual,281.02,1,2,4
62,TLS Mutual,310.26,1,2,4
63,TLS Mutual,307.23,1,2,4
64,TLS Mutual,304.97,1,2,4
65,TLS Mutual,306.45,1,2,4
66,TLS Mutual,303.7,1,2,4
67,TLS Mutual,280.19,1,2,4
68,TLS Mutual,280.38,1,2,4
69,TLS Mutual,306.97,1,2,4
70,TLS Mutual,303.25,1,2,4
71,TLS Mutual,405.22,1,2,4
72,TLS Mutual,305.0,1,2,4
73,TLS Mutual,302.24,1,2,4
74,TLS Mutual,294.49,1,2,4
75,TLS Mutual,302.1,1,2,4
76,TLS Mutual,281.51,1,2,4
77,TLS Mutual,281.7,1,2,4
78,TLS Mutual,302.95,1,2,4
79,TLS Mutual,303.67,1,2,4
80,TLS Mutual,305.31,1,2,4
81,TLS Mutual,306.1,1,2,4
82,TLS Mutual,280.81,1,2,4
83,TLS Mutual,302.82,1,2,4
84,TLS Mutual,304.92,1,2,4
85,TLS Mutual,303.1,1,2,4
86,TLS Mutual,304.42,1,2,4
87,TLS Mutual,304.87,1,2,4
88,TLS Mutual,303.99,1,2,4
89,TLS Mutual,304.98,1,2,4
90,TLS Mutual,284.42,1,2,4
91,TLS Mutual,292.02,1,2,4
92,TLS Mutual,302.75,1,2,4
93,TLS Mutual,306.83,1,2,4
94,TLS Mutual,301.3,1,2,4
95,TLS Mutual,302.76,1,2,4
96,TLS Mutual,288.11,1,2,4
97,TLS Mutual,305.58,1,2,4
98,TLS Mutual,304.96,1,2,4
99,TLS Mutual,292.2,1,2,4
100,TLS Mutual,304.06,1,2,4
101,TLS Mutual,304.9,1,2,4
102,TLS Mutual,304.69,1,2,4
103,TLS Mutual,305.86,1,2,4
104,TLS Mutual,304.41,1,2,4
105,TLS Mutual,305.9,1,2,4
106,TLS Mutual,285.6,1,2,4
107,TLS Mutual,302.68,1,2,4
108,TLS Mutual,304.18,1,2,4
109,TLS Mutual,299.67,1,2,4
110,TLS Mutual,303.5,1,2,4
111,TLS Mutual,280.23,1,2,4
112,TLS Mutual,304.9,1,2,4
113,TLS Mutual,408.02,1,2,4
114,TLS Mutual,288.61,1,2,4
115,TLS Mutual,303.51,1,2,4
116,TLS Mutual,302.67,1,2,4
117,TLS Mutual,304.21,1,2,4
118,TLS Mutual,305.76,1,2,4
119,TLS Mutual,305.41,1,2,4
120,TLS Mutual,305.7,1,2,4
121,TLS Mutual,306.44,1,2,4
122,TLS Mutual,305.92,1,2,4
123,TLS Mutual,305.91,1,2,4
124,TLS Mutual,305.66,1,2,4
125,TLS Mutual,305.04,1,2,4
