execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,520.48,1,1,4
2,TLS Single,354.52,1,1,4
3,TLS Single,358.41,1,1,4
4,TLS Single,354.76,1,1,4
5,TLS Single,356.14,1,1,4
6,TLS Single,351.3,1,1,4
7,TLS Single,354.51,1,1,4
8,TLS Single,352.3,1,1,4
9,TLS Single,351.32,1,1,4
10,TLS Single,353.32,1,1,4
11,TLS Single,356.07,1,1,4
12,TLS Single,351.79,1,1,4
13,TLS Single,354.63,1,1,4
14,TLS Single,351.66,1,1,4
15,TLS Single,351.79,1,1,4
16,TLS Single,352.01,1,1,4
17,TLS Single,1352.6,1,1,4
18,TLS Single,353.89,1,1,4
19,TLS Single,354.37,1,1,4
20,TLS Single,352.12,1,1,4
21,TLS Single,355.53,1,1,4
22,TLS Single,353.19,1,1,4
23,TLS Single,352.5,1,1,4
24,TLS Single,353.54,1,1,4
25,TLS Single,351.86,1,1,4
26,TLS Single,351.51,1,1,4
27,TLS Single,348.12,1,1,4
28,TLS Single,356.04,1,1,4
29,TLS Single,351.04,1,1,4
30,TLS Single,354.13,1,1,4
31,TLS Single,356.56,1,1,4
32,TLS Single,352.47,1,1,4
33,TLS Single,355.2,1,1,4
34,TLS Single,352.87,1,1,4
35,TLS Single,358.69,1,1,4
36,TLS Single,355.0,1,1,4
37,TLS Single,352.22,1,1,4
38,TLS Single,354.43,1,1,4
39,TLS Single,352.8,1,1,4
40,TLS Single,354.81,1,1,4
41,TLS Single,356.53,1,1,4
42,TLS Single,354.56,1,1,4
43,TLS Single,357.19,1,1,4
44,TLS Single,354.29,1,1,4
45,TLS Single,353.38,1,1,4
46,TLS Single,353.79,1,1,4
47,TLS Single,355.32,1,1,4
48,TLS Single,353.89,1,1,4
49,TLS Single,354.74,1,1,4
50,TLS Single,355.13,1,1,4
51,TLS Single,355.36,1,1,4
52,TLS Single,351.81,1,1,4
53,TLS Single,357.49,1,1,4
54,TLS Single,352.57,1,1,4
55,TLS Single,353.3,1,1,4
56,TLS Single,352.55,1,1,4
57,TLS Single,353.7,1,1,4
58,TLS Single,351.51,1,1,4
59,TLS Single,352.47,1,1,4
60,TLS Single,352.13,1,1,4
61,TLS Single,352.38,1,1,4
62,TLS Single,354.68,1,1,4
63,TLS Single,354.72,1,1,4
64,TLS Single,345.7,1,1,4
65,TLS Single,353.35,1,1,4
66,TLS Single,352.5,1,1,4
67,TLS Single,357.39,1,1,4
68,TLS Single,353.9,1,1,4
69,TLS Single,351.9,1,1,4
70,TLS Single,352.26,1,1,4
71,TLS Single,352.76,1,1,4
72,TLS Single,1527.38,1,1,4
73,TLS Single,354.61,1,1,4
74,TLS Single,354.3,1,1,4
75,TLS Single,352.51,1,1,4
76,TLS Single,352.85,1,1,4
77,TLS Single,356.09,1,1,4
78,TLS Single,350.99,1,1,4
79,TLS Single,1195.29,1,1,4
80,TLS Single,354.73,1,1,4
81,TLS Single,352.09,1,1,4
82,TLS Single,352.2,1,1,4
83,TLS Single,351.45,1,1,4
84,TLS Single,352.52,1,1,4
85,TLS Single,353.88,1,1,4
86,TLS Single,353.13,1,1,4
87,TLS Single,355.43,1,1,4
88,TLS Single,355.14,1,1,4
89,TLS Single,354.55,1,1,4
90,TLS Single,353.22,1,1,4
91,TLS Single,358.48,1,1,4
92,TLS Single,352.53,1,1,4
93,TLS Single,353.18,1,1,4
94,TLS Single,353.53,1,1,4
95,TLS Single,356.81,1,1,4
96,TLS Single,355.87,1,1,4
97,TLS Single,351.67,1,1,4
98,TLS Single,355.14,1,1,4
99,TLS Single,352.51,1,1,4
100,TLS Single,352.44,1,1,4
101,TLS Single,343.75,1,1,4
102,TLS Single,342.1,1,1,4
103,TLS Single,351.81,1,1,4
104,TLS Single,352.59,1,1,4
105,TLS Single,351.16,1,1,4
106,TLS Single,351.3,1,1,4
107,TLS Single,352.1,1,1,4
108,TLS Single,351.18,1,1,4
109,TLS Single,351.46,1,1,4
110,TLS Single,353.8,1,1,4
111,TLS Single,351.79,1,1,4
112,TLS Single,352.96,1,1,4
113,TLS Single,354.08,1,1,4
114,TLS Single,354.02,1,1,4
115,TLS Single,353.76,1,1,4
116,TLS Single,352.18,1,1,4
117,TLS Single,353.78,1,1,4
118,TLS Single,355.16,1,1,4
119,TLS Single,356.11,1,1,4
120,TLS Single,355.04,1,1,4
121,TLS Single,352.88,1,1,4
122,TLS Single,355.54,1,1,4
123,TLS Single,354.01,1,1,4
124,TLS Single,354.0,1,1,4
125,TLS Single,351.52,1,1,4
