execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,506.8,1,3,4
2,TLS Single,339.8,1,3,4
3,TLS Single,339.89,1,3,4
4,TLS Single,341.34,1,3,4
5,TLS Single,337.79,1,3,4
6,TLS Single,340.2,1,3,4
7,TLS Single,341.37,1,3,4
8,TLS Single,340.5,1,3,4
9,TLS Single,338.68,1,3,4
10,TLS Single,340.08,1,3,4
11,TLS Single,339.2,1,3,4
12,TLS Single,340.46,1,3,4
13,TLS Single,340.16,1,3,4
14,TLS Single,340.92,1,3,4
15,TLS Single,507.49,1,3,4
16,TLS Single,340.08,1,3,4
17,TLS Single,340.19,1,3,4
18,TLS Single,339.94,1,3,4
19,TLS Single,339.68,1,3,4
20,TLS Single,339.93,1,3,4
21,TLS Single,339.67,1,3,4
22,TLS Single,339.84,1,3,4
23,TLS Single,340.09,1,3,4
24,TLS Single,339.97,1,3,4
25,TLS Single,507.74,1,3,4
26,TLS Single,340.19,1,3,4
27,TLS Single,340.25,1,3,4
28,TLS Single,340.22,1,3,4
29,TLS Single,339.9,1,3,4
30,TLS Single,717.34,1,3,4
31,TLS Single,339.95,1,3,4
32,TLS Single,340.0,1,3,4
33,TLS Single,341.03,1,3,4
34,TLS Single,339.79,1,3,4
35,TLS Single,339.81,1,3,4
36,TLS Single,339.75,1,3,4
37,TLS Single,338.45,1,3,4
38,TLS Single,340.11,1,3,4
39,TLS Single,340.28,1,3,4
40,TLS Single,339.83,1,3,4
41,TLS Single,341.04,1,3,4
42,TLS Single,339.75,1,3,4
43,TLS Single,340.38,1,3,4
44,TLS Single,340.08,1,3,4
45,TLS Single,340.31,1,3,4
46,TLS Single,339.93,1,3,4
47,TLS Single,507.28,1,3,4
48,TLS Single,339.83,1,3,4
49,TLS Single,339.75,1,3,4
50,TLS Single,339.87,1,3,4
51,TLS Single,1681.67,1,3,4
52,TLS Single,339.76,1,3,4
53,TLS Single,340.79,1,3,4
54,TLS Single,340.07,1,3,4
55,TLS Single,339.96,1,3,4
56,TLS Single,339.71,1,3,4
57,TLS Single,340.37,1,3,4
58,TLS Single,506.07,1,3,4
59,TLS Single,341.27,1,3,4
60,TLS Single,340.76,1,3,4
61,TLS Single,340.74,1,3,4
62,TLS Single,1014.31,1,3,4
63,TLS Single,339.93,1,3,4
64,TLS Single,339.69,1,3,4
65,TLS Single,340.55,1,3,4
66,TLS Single,339.84,1,3,4
67,TLS Single,336.52,1,3,4
68,TLS Single,339.54,1,3,4
69,TLS Single,339.9,1,3,4
70,TLS Single,339.38,1,3,4
71,TLS Single,507.82,1,3,4
72,TLS Single,340.06,1,3,4
73,TLS Single,339.98,1,3,4
74,TLS Single,1013.82,1,3,4
75,TLS Single,339.87,1,3,4
76,TLS Single,340.08,1,3,4
77,TLS Single,339.92,1,3,4
78,TLS Single,338.67,1,3,4
79,TLS Single,339.64,1,3,4
80,TLS Single,340.73,1,3,4
81,TLS Single,339.68,1,3,4
82,TLS Single,339.79,1,3,4
83,TLS Single,340.23,1,3,4
84,TLS Single,340.09,1,3,4
85,TLS Single,339.63,1,3,4
86,TLS Single,339.01,1,3,4
87,TLS Single,339.7,1,3,4
88,TLS Single,340.85,1,3,4
89,TLS Single,339.72,1,3,4
90,TLS Single,340.15,1,3,4
91,TLS Single,340.03,1,3,4
92,TLS Single,1693.82,1,3,4
93,TLS Single,339.93,1,3,4
94,TLS Single,339.92,1,3,4
95,TLS Single,340.11,1,3,4
96,TLS Single,340.01,1,3,4
97,TLS Single,340.8,1,3,4
98,TLS Single,339.9,1,3,4
99,TLS Single,339.17,1,3,4
100,TLS Single,341.19,1,3,4
101,TLS Single,339.88,1,3,4
102,TLS Single,340.55,1,3,4
103,TLS Single,340.68,1,3,4
104,TLS Single,339.96,1,3,4
105,TLS Single,341.02,1,3,4
106,TLS Single,339.94,1,3,4
107,TLS Single,340.72,1,3,4
108,TLS Single,340.44,1,3,4
109,TLS Single,340.65,1,3,4
110,TLS Single,338.95,1,3,4
111,TLS Single,339.81,1,3,4
112,TLS Single,340.46,1,3,4
113,TLS Single,340.6,1,3,4
114,TLS Single,340.58,1,3,4
115,TLS Single,340.87,1,3,4
116,TLS Single,340.65,1,3,4
117,TLS Single,341.41,1,3,4
118,TLS Single,341.45,1,3,4
119,TLS Single,340.69,1,3,4
120,TLS Single,340.38,1,3,4
121,TLS Single,340.11,1,3,4
122,TLS Single,340.41,1,3,4
123,TLS Single,340.3,1,3,4
124,TLS Single,339.51,1,3,4
125,TLS Single,341.66,1,3,4
