execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,71.02,1,1,4
2,TLS Single,60.25,1,1,4
3,TLS Single,54.76,1,1,4
4,TLS Single,53.52,1,1,4
5,TLS Single,56.16,1,1,4
6,TLS Single,54.2,1,1,4
7,TLS Single,55.61,1,1,4
8,TLS Single,55.01,1,1,4
9,TLS Single,53.89,1,1,4
10,TLS Single,53.62,1,1,4
11,TLS Single,58.68,1,1,4
12,TLS Single,53.71,1,1,4
13,TLS Single,52.74,1,1,4
14,TLS Single,51.83,1,1,4
15,TLS Single,53.48,1,1,4
16,TLS Single,54.29,1,1,4
17,TLS Single,53.75,1,1,4
18,TLS Single,54.36,1,1,4
19,TLS Single,50.73,1,1,4
20,TLS Single,51.53,1,1,4
21,TLS Single,52.37,1,1,4
22,TLS Single,55.12,1,1,4
23,TLS Single,55.63,1,1,4
24,TLS Single,53.88,1,1,4
25,TLS Single,54.56,1,1,4
26,TLS Single,51.72,1,1,4
27,TLS Single,53.61,1,1,4
28,TLS Single,53.37,1,1,4
29,TLS Single,52.46,1,1,4
30,TLS Single,52.42,1,1,4
31,TLS Single,51.24,1,1,4
32,TLS Single,51.44,1,1,4
33,TLS Single,53.53,1,1,4
34,TLS Single,53.4,1,1,4
35,TLS Single,53.36,1,1,4
36,TLS Single,53.25,1,1,4
37,TLS Single,55.31,1,1,4
38,TLS Single,52.52,1,1,4
39,TLS Single,52.76,1,1,4
40,TLS Single,55.28,1,1,4
41,TLS Single,54.49,1,1,4
42,TLS Single,52.69,1,1,4
43,TLS Single,55.78,1,1,4
44,TLS Single,51.19,1,1,4
45,TLS Single,52.55,1,1,4
46,TLS Single,53.64,1,1,4
47,TLS Single,56.93,1,1,4
48,TLS Single,51.45,1,1,4
49,TLS Single,53.39,1,1,4
50,TLS Single,54.55,1,1,4
51,TLS Single,51.79,1,1,4
52,TLS Single,52.37,1,1,4
53,TLS Single,52.38,1,1,4
54,TLS Single,54.58,1,1,4
55,TLS Single,54.08,1,1,4
56,TLS Single,52.6,1,1,4
57,TLS Single,53.8,1,1,4
58,TLS Single,54.26,1,1,4
59,TLS Single,52.33,1,1,4
60,TLS Single,53.18,1,1,4
61,TLS Single,53.33,1,1,4
62,TLS Single,54.83,1,1,4
63,TLS Single,56.17,1,1,4
64,TLS Single,52.64,1,1,4
65,TLS Single,54.48,1,1,4
66,TLS Single,53.4,1,1,4
67,TLS Single,55.71,1,1,4
68,TLS Single,54.09,1,1,4
69,TLS Single,53.93,1,1,4
70,TLS Single,53.95,1,1,4
71,TLS Single,54.17,1,1,4
72,TLS Single,56.1,1,1,4
73,TLS Single,54.09,1,1,4
74,TLS Single,51.79,1,1,4
75,TLS Single,52.08,1,1,4
76,TLS Single,54.13,1,1,4
77,TLS Single,53.13,1,1,4
78,TLS Single,66.22,1,1,4
79,TLS Single,65.61,1,1,4
80,TLS Single,54.69,1,1,4
81,TLS Single,53.1,1,1,4
82,TLS Single,53.43,1,1,4
83,TLS Single,54.52,1,1,4
84,TLS Single,55.77,1,1,4
85,TLS Single,52.66,1,1,4
86,TLS Single,53.89,1,1,4
87,TLS Single,54.9,1,1,4
88,TLS Single,52.57,1,1,4
89,TLS Single,52.0,1,1,4
90,TLS Single,52.4,1,1,4
91,TLS Single,51.3,1,1,4
92,TLS Single,50.2,1,1,4
93,TLS Single,52.85,1,1,4
94,TLS Single,53.69,1,1,4
95,TLS Single,54.6,1,1,4
96,TLS Single,54.04,1,1,4
97,TLS Single,54.19,1,1,4
98,TLS Single,52.51,1,1,4
99,TLS Single,53.22,1,1,4
100,TLS Single,53.39,1,1,4
101,TLS Single,52.68,1,1,4
102,TLS Single,55.56,1,1,4
103,TLS Single,53.33,1,1,4
104,TLS Single,52.23,1,1,4
105,TLS Single,51.09,1,1,4
106,TLS Single,51.48,1,1,4
107,TLS Single,54.19,1,1,4
108,TLS Single,53.84,1,1,4
109,TLS Single,59.05,1,1,4
110,TLS Single,54.0,1,1,4
111,TLS Single,54.09,1,1,4
112,TLS Single,55.99,1,1,4
113,TLS Single,57.08,1,1,4
114,TLS Single,53.38,1,1,4
115,TLS Single,52.98,1,1,4
116,TLS Single,54.08,1,1,4
117,TLS Single,53.29,1,1,4
118,TLS Single,54.28,1,1,4
119,TLS Single,50.72,1,1,4
120,TLS Single,52.59,1,1,4
121,TLS Single,52.35,1,1,4
122,TLS Single,51.69,1,1,4
123,TLS Single,53.0,1,1,4
124,TLS Single,53.01,1,1,4
125,TLS Single,54.38,1,1,4
