execution,mode,handshake_duration_ms,success
1,TLS Single,3.13,1
2,TLS Single,3.06,1
3,TLS Single,2.88,1
4,TLS Single,3.64,1
5,TLS Single,2.97,1
6,TLS Single,2.89,1
7,TLS Single,2.98,1
8,TLS Single,3.3,1
9,TLS Single,3.03,1
10,TLS Single,2.89,1
11,TLS Single,2.94,1
12,TLS Single,3.03,1
13,TLS Single,3.13,1
14,TLS Single,2.98,1
15,TLS Single,2.93,1
16,TLS Single,2.92,1
17,TLS Single,3.34,1
18,TLS Single,2.91,1
19,TLS Single,2.94,1
20,TLS Single,3.0,1
21,TLS Single,3.72,1
22,TLS Single,2.94,1
23,TLS Single,3.06,1
24,TLS Single,3.04,1
25,TLS Single,3.47,1
26,TLS Single,2.82,1
27,TLS Single,2.93,1
28,TLS Single,2.97,1
29,TLS Single,3.67,1
30,TLS Single,2.96,1
31,TLS Single,2.81,1
32,TLS Single,3.14,1
33,TLS Single,3.0,1
34,TLS Single,3.25,1
35,TLS Single,2.92,1
36,TLS Single,2.95,1
37,TLS Single,3.02,1
38,TLS Single,3.24,1
39,TLS Single,2.95,1
40,TLS Single,3.03,1
41,TLS Single,2.95,1
42,TLS Single,3.26,1
43,TLS Single,3.01,1
44,TLS Single,2.91,1
45,TLS Single,2.93,1
46,TLS Single,3.02,1
47,TLS Single,3.1,1
48,TLS Single,2.96,1
49,TLS Single,3.06,1
50,TLS Single,2.92,1
51,TLS Single,3.45,1
52,TLS Single,2.93,1
53,TLS Single,2.96,1
54,TLS Single,2.89,1
55,TLS Single,3.33,1
56,TLS Single,2.94,1
57,TLS Single,2.92,1
58,TLS Single,2.97,1
59,TLS Single,2.94,1
60,TLS Single,3.24,1
61,TLS Single,2.9,1
62,TLS Single,3.14,1
63,TLS Single,2.94,1
64,TLS Single,3.46,1
65,TLS Single,2.97,1
66,TLS Single,2.9,1
67,TLS Single,2.98,1
68,TLS Single,3.19,1
69,TLS Single,3.03,1
70,TLS Single,2.87,1
71,TLS Single,3.2,1
72,TLS Single,3.23,1
73,TLS Single,2.9,1
74,TLS Single,3.02,1
75,TLS Single,2.98,1
76,TLS Single,3.04,1
77,TLS Single,3.02,1
78,TLS Single,2.94,1
79,TLS Single,2.96,1
80,TLS Single,3.11,1
81,TLS Single,3.48,1
82,TLS Single,2.91,1
83,TLS Single,3.03,1
84,TLS Single,2.94,1
85,TLS Single,3.32,1
86,TLS Single,2.95,1
87,TLS Single,3.02,1
88,TLS Single,2.91,1
89,TLS Single,2.92,1
90,TLS Single,3.19,1
91,TLS Single,2.95,1
92,TLS Single,3.08,1
93,TLS Single,2.89,1
94,TLS Single,3.04,1
95,TLS Single,3.05,1
96,TLS Single,2.98,1
97,TLS Single,2.88,1
98,TLS Single,2.91,1
99,TLS Single,4.61,1
100,TLS Single,3.2,1
101,TLS Single,3.29,1
102,TLS Single,3.27,1
103,TLS Single,3.47,1
104,TLS Single,3.37,1
105,TLS Single,3.03,1
106,TLS Single,3.09,1
107,TLS Single,3.8,1
108,TLS Single,2.91,1
109,TLS Single,2.91,1
110,TLS Single,2.97,1
111,TLS Single,3.07,1
112,TLS Single,2.95,1
113,TLS Single,2.89,1
114,TLS Single,3.05,1
115,TLS Single,3.29,1
116,TLS Single,2.96,1
117,TLS Single,2.93,1
118,TLS Single,2.92,1
119,TLS Single,3.37,1
120,TLS Single,2.88,1
121,TLS Single,2.9,1
122,TLS Single,3.0,1
123,TLS Single,3.32,1
124,TLS Single,2.88,1
125,TLS Single,3.03,1
126,TLS Single,2.9,1
127,TLS Single,2.99,1
128,TLS Single,3.12,1
129,TLS Single,2.77,1
130,TLS Single,2.88,1
131,TLS Single,2.94,1
132,TLS Single,2.98,1
133,TLS Single,2.83,1
134,TLS Single,2.92,1
135,TLS Single,2.99,1
136,TLS Single,3.24,1
137,TLS Single,3.04,1
138,TLS Single,2.94,1
139,TLS Single,2.95,1
140,TLS Single,3.13,1
141,TLS Single,3.08,1
142,TLS Single,2.86,1
143,TLS Single,2.98,1
144,TLS Single,3.31,1
145,TLS Single,2.93,1
146,TLS Single,3.06,1
147,TLS Single,3.02,1
148,TLS Single,2.97,1
149,TLS Single,3.18,1
150,TLS Single,2.92,1
151,TLS Single,2.85,1
152,TLS Single,3.05,1
153,TLS Single,3.07,1
154,TLS Single,2.91,1
155,TLS Single,2.87,1
156,TLS Single,2.86,1
157,TLS Single,3.05,1
158,TLS Single,2.98,1
159,TLS Single,3.0,1
160,TLS Single,2.85,1
161,TLS Single,2.98,1
162,TLS Single,3.42,1
163,TLS Single,2.95,1
164,TLS Single,2.95,1
165,TLS Single,2.91,1
166,TLS Single,3.27,1
167,TLS Single,3.15,1
168,TLS Single,2.92,1
169,TLS Single,2.94,1
170,TLS Single,3.15,1
171,TLS Single,3.13,1
172,TLS Single,2.91,1
173,TLS Single,2.88,1
174,TLS Single,2.87,1
175,TLS Single,3.33,1
176,TLS Single,3.16,1
177,TLS Single,3.02,1
178,TLS Single,2.95,1
179,TLS Single,3.09,1
180,TLS Single,3.78,1
181,TLS Single,3.15,1
182,TLS Single,2.85,1
183,TLS Single,2.99,1
184,TLS Single,3.0,1
185,TLS Single,3.21,1
186,TLS Single,2.92,1
187,TLS Single,2.8,1
188,TLS Single,2.99,1
189,TLS Single,3.1,1
190,TLS Single,2.8,1
191,TLS Single,3.03,1
192,TLS Single,2.88,1
193,TLS Single,3.71,1
194,TLS Single,2.84,1
195,TLS Single,2.96,1
196,TLS Single,2.95,1
197,TLS Single,3.19,1
198,TLS Single,3.01,1
199,TLS Single,3.0,1
200,TLS Single,3.04,1
201,TLS Single,2.91,1
202,TLS Single,3.19,1
203,TLS Single,2.78,1
204,TLS Single,2.8,1
205,TLS Single,2.95,1
206,TLS Single,2.92,1
207,TLS Single,2.86,1
208,TLS Single,2.94,1
209,TLS Single,2.99,1
210,TLS Single,3.03,1
211,TLS Single,3.07,1
212,TLS Single,2.85,1
213,TLS Single,3.08,1
214,TLS Single,3.21,1
215,TLS Single,2.95,1
216,TLS Single,2.94,1
217,TLS Single,2.93,1
218,TLS Single,3.18,1
219,TLS Single,3.25,1
220,TLS Single,2.95,1
221,TLS Single,2.89,1
222,TLS Single,3.16,1
223,TLS Single,3.38,1
224,TLS Single,2.82,1
225,TLS Single,2.8,1
226,TLS Single,2.86,1
227,TLS Single,3.31,1
228,TLS Single,2.77,1
229,TLS Single,2.89,1
230,TLS Single,2.94,1
231,TLS Single,3.71,1
232,TLS Single,2.87,1
233,TLS Single,2.8,1
234,TLS Single,2.94,1
235,TLS Single,3.59,1
236,TLS Single,2.83,1
237,TLS Single,2.83,1
238,TLS Single,2.82,1
239,TLS Single,3.24,1
240,TLS Single,2.82,1
241,TLS Single,2.81,1
242,TLS Single,2.87,1
243,TLS Single,2.89,1
244,TLS Single,2.98,1
245,TLS Single,2.89,1
246,TLS Single,2.98,1
247,TLS Single,3.02,1
248,TLS Single,2.84,1
249,TLS Single,2.94,1
250,TLS Single,3.04,1
251,TLS Single,3.1,1
252,TLS Single,2.92,1
253,TLS Single,2.88,1
254,TLS Single,3.14,1
255,TLS Single,3.02,1
256,TLS Single,2.92,1
257,TLS Single,2.89,1
258,TLS Single,2.94,1
259,TLS Single,2.94,1
260,TLS Single,3.12,1
261,TLS Single,2.93,1
262,TLS Single,2.8,1
263,TLS Single,2.85,1
264,TLS Single,3.65,1
265,TLS Single,2.85,1
266,TLS Single,2.79,1
267,TLS Single,2.9,1
268,TLS Single,3.15,1
269,TLS Single,3.06,1
270,TLS Single,2.94,1
271,TLS Single,2.91,1
272,TLS Single,2.98,1
273,TLS Single,3.25,1
274,TLS Single,2.89,1
275,TLS Single,2.84,1
276,TLS Single,2.91,1
277,TLS Single,3.24,1
278,TLS Single,2.9,1
279,TLS Single,2.78,1
280,TLS Single,2.87,1
281,TLS Single,2.88,1
282,TLS Single,2.85,1
283,TLS Single,2.79,1
284,TLS Single,2.87,1
285,TLS Single,3.13,1
286,TLS Single,2.88,1
287,TLS Single,2.75,1
288,TLS Single,2.93,1
289,TLS Single,2.9,1
290,TLS Single,2.75,1
291,TLS Single,2.8,1
292,TLS Single,3.08,1
293,TLS Single,3.51,1
294,TLS Single,2.91,1
295,TLS Single,2.78,1
296,TLS Single,2.85,1
297,TLS Single,3.63,1
298,TLS Single,2.82,1
299,TLS Single,2.77,1
300,TLS Single,2.91,1
301,TLS Single,3.12,1
302,TLS Single,2.83,1
303,TLS Single,2.79,1
304,TLS Single,2.92,1
305,TLS Single,3.32,1
306,TLS Single,2.87,1
307,TLS Single,2.88,1
308,TLS Single,2.88,1
309,TLS Single,3.14,1
310,TLS Single,2.81,1
311,TLS Single,2.9,1
312,TLS Single,3.16,1
313,TLS Single,3.81,1
314,TLS Single,2.86,1
315,TLS Single,2.78,1
316,TLS Single,2.87,1
317,TLS Single,3.13,1
318,TLS Single,2.88,1
319,TLS Single,2.86,1
320,TLS Single,2.89,1
321,TLS Single,3.41,1
322,TLS Single,2.77,1
323,TLS Single,2.78,1
324,TLS Single,3.0,1
325,TLS Single,2.81,1
326,TLS Single,2.78,1
327,TLS Single,2.91,1
328,TLS Single,2.91,1
329,TLS Single,2.91,1
330,TLS Single,2.76,1
331,TLS Single,2.79,1
332,TLS Single,2.87,1
333,TLS Single,2.95,1
334,TLS Single,2.84,1
335,TLS Single,2.81,1
336,TLS Single,3.08,1
337,TLS Single,3.02,1
338,TLS Single,2.78,1
339,TLS Single,2.77,1
340,TLS Single,2.99,1
341,TLS Single,3.1,1
342,TLS Single,2.83,1
343,TLS Single,2.91,1
344,TLS Single,2.94,1
345,TLS Single,3.02,1
346,TLS Single,2.94,1
347,TLS Single,2.91,1
348,TLS Single,2.9,1
349,TLS Single,2.97,1
350,TLS Single,3.1,1
351,TLS Single,3.05,1
352,TLS Single,2.91,1
353,TLS Single,3.03,1
354,TLS Single,3.33,1
355,TLS Single,2.84,1
356,TLS Single,2.94,1
357,TLS Single,2.92,1
358,TLS Single,3.63,1
359,TLS Single,2.84,1
360,TLS Single,2.81,1
361,TLS Single,2.79,1
362,TLS Single,3.02,1
363,TLS Single,2.87,1
364,TLS Single,2.81,1
365,TLS Single,2.92,1
366,TLS Single,3.06,1
367,TLS Single,2.79,1
368,TLS Single,2.79,1
369,TLS Single,3.0,1
370,TLS Single,2.86,1
371,TLS Single,2.78,1
372,TLS Single,2.81,1
373,TLS Single,3.2,1
374,TLS Single,2.81,1
375,TLS Single,3.0,1
376,TLS Single,3.02,1
377,TLS Single,3.39,1
378,TLS Single,2.95,1
379,TLS Single,2.94,1
380,TLS Single,2.96,1
381,TLS Single,2.95,1
382,TLS Single,3.2,1
383,TLS Single,2.83,1
384,TLS Single,2.88,1
385,TLS Single,3.04,1
386,TLS Single,3.55,1
387,TLS Single,2.93,1
388,TLS Single,2.76,1
389,TLS Single,2.8,1
390,TLS Single,3.05,1
391,TLS Single,2.84,1
392,TLS Single,2.85,1
393,TLS Single,2.84,1
394,TLS Single,3.59,1
395,TLS Single,2.89,1
396,TLS Single,2.81,1
397,TLS Single,2.81,1
398,TLS Single,2.94,1
399,TLS Single,2.84,1
400,TLS Single,2.83,1
401,TLS Single,3.06,1
402,TLS Single,2.8,1
403,TLS Single,2.85,1
404,TLS Single,2.82,1
405,TLS Single,3.14,1
406,TLS Single,2.91,1
407,TLS Single,2.9,1
408,TLS Single,2.82,1
409,TLS Single,2.9,1
410,TLS Single,2.98,1
411,TLS Single,2.82,1
412,TLS Single,2.8,1
413,TLS Single,2.89,1
414,TLS Single,3.03,1
415,TLS Single,2.81,1
416,TLS Single,2.81,1
417,TLS Single,2.97,1
418,TLS Single,2.95,1
419,TLS Single,2.81,1
420,TLS Single,2.81,1
421,TLS Single,2.87,1
422,TLS Single,3.43,1
423,TLS Single,2.73,1
424,TLS Single,2.77,1
425,TLS Single,2.92,1
426,TLS Single,3.0,1
427,TLS Single,2.77,1
428,TLS Single,2.9,1
429,TLS Single,2.95,1
430,TLS Single,2.83,1
431,TLS Single,2.85,1
432,TLS Single,2.83,1
433,TLS Single,2.93,1
434,TLS Single,3.21,1
435,TLS Single,2.77,1
436,TLS Single,2.77,1
437,TLS Single,2.84,1
438,TLS Single,3.04,1
439,TLS Single,2.81,1
440,TLS Single,3.05,1
441,TLS Single,2.92,1
442,TLS Single,3.35,1
443,TLS Single,2.92,1
444,TLS Single,2.89,1
445,TLS Single,2.81,1
446,TLS Single,2.9,1
447,TLS Single,3.28,1
448,TLS Single,2.77,1
449,TLS Single,2.88,1
450,TLS Single,2.98,1
451,TLS Single,2.81,1
452,TLS Single,2.79,1
453,TLS Single,2.8,1
454,TLS Single,2.94,1
455,TLS Single,3.16,1
456,TLS Single,2.87,1
457,TLS Single,2.82,1
458,TLS Single,2.93,1
459,TLS Single,2.83,1
460,TLS Single,2.96,1
461,TLS Single,2.88,1
462,TLS Single,3.06,1
463,TLS Single,2.98,1
464,TLS Single,2.84,1
465,TLS Single,2.8,1
466,TLS Single,3.05,1
467,TLS Single,3.2,1
468,TLS Single,2.75,1
469,TLS Single,2.87,1
470,TLS Single,2.84,1
471,TLS Single,3.12,1
472,TLS Single,2.87,1
473,TLS Single,2.89,1
474,TLS Single,3.04,1
475,TLS Single,3.73,1
476,TLS Single,2.81,1
477,TLS Single,2.78,1
478,TLS Single,2.79,1
479,TLS Single,3.0,1
480,TLS Single,2.82,1
481,TLS Single,2.76,1
482,TLS Single,2.84,1
483,TLS Single,3.21,1
484,TLS Single,2.77,1
485,TLS Single,2.78,1
486,TLS Single,2.81,1
487,TLS Single,3.01,1
488,TLS Single,2.8,1
489,TLS Single,2.79,1
490,TLS Single,2.97,1
491,TLS Single,3.05,1
492,TLS Single,2.81,1
493,TLS Single,2.83,1
494,TLS Single,3.1,1
495,TLS Single,2.75,1
496,TLS Single,2.77,1
497,TLS Single,2.76,1
498,TLS Single,3.23,1
499,TLS Single,2.92,1
500,TLS Single,2.84,1
